RU;IT;Tense;Rank;Noun;Gender;Verb;Person;Type;Model
прошлый (scorso) год (anno) мы жили (vivere) в Риме (Roma).;L'anno scorso noi vivevamo a Roma.;Imperfetto;143;anno;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
я делаю одну часть работы (parte del lavoro).;Io faccio una parte del lavoro.;Presente;147;parte;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы взяли кусок пиццы.;Noi abbiamo preso un pezzo di pizza.;Passato Prossimo;147;pezzo;m;;;noun;enriched
мы часто ели пиццу.;Noi mangiavamo spesso la pizza.;Imperfetto;155;volta;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я гулял (uscire) с друзьями (amici).;Io uscivo con gli amici.;Imperfetto;164;amico;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы встретили (incontrare) старых (vecchi) друзей (amici).;Noi abbiamo incontrato dei vecchi amici.;Passato Prossimo;164;amico;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы делали это по-разному.;Noi lo facevamo in modo diverso.;Imperfetto;180;modo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
она искала один способ (cercare, uno, modo).;Lei ha cercato un modo.;Passato Prossimo;180;modo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он оказывал небольшую услугу.;Lui faceva un piccolo favore.;Imperfetto;204;favore;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
ты сделал (fare) большую (grande) услугу (favore).;Tu hai fatto un grande favore.;Passato Prossimo;204;favore;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
ты знаешь (conoscere) эту девушку (la).;Tu la conosci.;Presente;210;ragazza;f;;;noun;enriched
она позвонила (chiamare) подруге (la).;Lei l'ha chiamata.;Passato Prossimo;215;amica;f;;;noun;enriched
мы (noi) пережили (passare) трудные (difficile) моменты (momenti).;Noi abbiamo passato dei momenti difficili.;Passato Prossimo;218;momento;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он красивый парень (bello, ragazzo).;Lui è un bel ragazzo.;Presente;221;ragazzo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он тратит (spendere) деньги (soldo).;Lui spende i soldi.;Presente;232;soldo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
мы заработали (guadagnare) много (molto) денег (soldi).;Noi abbiamo guadagnato molti soldi.;Passato Prossimo;232;soldo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
у меня есть хорошая идея (avere, buona).;Io ho una buona idea.;Presente;239;idea;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
