A05 - Ευγενική μορφή (Вежливая форма)
Как тебя зовут? (σου, λένε);Πώς σου λένε;
Как Вас зовут? (σας, λένε);Πώς σας λένε;
Ты говоришь по-гречески? (μιλάς, ελληνικά);Μιλάς ελληνικά;
Вы говорите по-гречески? (μιλάτε, ελληνικά);Μιλάτε ελληνικά;
Ты понимаешь? (καταλαβαίνεις);Καταλαβαίνεις;
Вы понимаете? (καταλαβαίνετε);Καταλαβαίνετε;
Вы работаете здесь? (δουλεύετε, εδώ);Δουλεύετε εδώ;
Где Вы живёте? (μένετε, πού);Πού μένετε;
Вы знаете этот город? (ξέρετε, αυτή η πόλη);Ξέρετε αυτή την πόλη;
Вы студент? (είστε, φοιτητής);Είστε φοιτητής;
Вы учительница? (είστε, δασκάλα);Είστε δασκάλα;
Вы врач? (είστε, γιατρός);Είστε γιατρός;
Вы устали? (είστε, κουρασμένος);Είστε κουρασμένος;
У Вас есть время? (έχετε, χρόνος);Έχετε χρόνο;
У Вас есть дети? (έχετε, παιδιά);Έχετε παιδιά;
У Вас есть билет? (έχετε, εισητήριο);Έχετε εισητήριο;
У Вас есть карта? (έχετε, χάρτης);Έχετε χάρτη;
Когда Вы приходите? (έρχεστε, πότε);Πότε έρχεστε;
Где Вы работаете? (δουλεύετε, πού);Πού δουλεύετε;
Вы хотите кофе? (θέλετε, καφές);Θέλετε καφέ;
Вы можете нам помочь? (μπορείτε, εμάς);Μπορείτε να μας βοηθήσετε;
Вы говорите по-английски? (μιλάτε, αγγλικά);Μιλάτε αγγλικά;
Извините, Вы господин Пападопулос? (συγγνώμη, είστε, κύριος);Συγγνώμη, είστε ο κύριος Παπαδόπουλος;
Да, я понимаю (ναι, καταλαβαίνω);Ναι, καταλαβαίνω
Нет, я не знаю (όχι, δεν ξέρω);Όχι, δεν ξέρω
Да, у меня есть время (ναι, έχω, χρόνος);Ναι, έχω χρόνο
Нет, я не говорю по-английски (όχι, δεν μιλάω, αγγλικά);Όχι, δεν μιλάω αγγλικά
Ты хочешь воды? (θέλεις, νερό) — другу;Θέλεις νερό;
Вы хотите воды? (θέλετε, νερό) — незнакомцу;Θέλετε νερό;
Ты знаешь Марию? (ξέρεις, Μαρία) — другу;Ξέρεις τη Μαρία;
Вы знаете Марию? (ξέρετε, Μαρία) — преподавателю;Ξέρετε τη Μαρία;
Где ты работаешь? (δουλεύεις, πού) — другу;Πού δουλεύεις;
Где Вы работаете? (δουλεύετε, πού) — начальнику;Πού δουλεύετε;
Ты устал? (είσαι, κουρασμένος) — брату;Είσαι κουρασμένος;
Вы устали? (είστε, κουρασμένος) — пожилому человеку;Είστε κουρασμένος;
