B10 - Condizionale Composto
2	Я бы сделал это раньше;Lo avrei fatto prima
3	Она сказала, что купила бы билеты;Ha detto che avrebbe comprato i biglietti
4	Мы бы знали правду;Saremmo stati a conoscenza della verità
5	Я думал, что они приедут завтра;Pensavo che sarebbero arrivati domani
6	Ты бы был счастлив;Saresti stato felice
7	Он обещал, что позвонит мне вечером;Ha promesso che mi avrebbe chiamato la sera
8	Мы бы пообедали вместе;Avremmo pranzato insieme
9	Она надеялась, что найдёт работу;Sperava che avrebbe trovato lavoro
10	Я бы сказал тебе правду;Ti avrei detto la verità
11	Он думал, что всё будет хорошо;Pensava che tutto sarebbe andato bene
12	Мы бы помогли тебе;Ti avremmo aiutato
13	Она сказала, что придёт к нам;Ha detto che sarebbe venuta a trovarci
14	Я бы сделал это;Lo avrei fatto
15	Они боялись, что опоздают на поезд;Avevano paura di aver perso il treno
16	Ты бы понял;Avresti capito
17	Он знал, что мы согласимся;Sapeva che saremmo stati d'accordo
18	Я бы посмотрел этот фильм;Avrei visto quel film
19	Она уверяла, что всё подготовит;Assicurava che avrebbe preparato tutto
20	Мы бы встретились у театра;Ci saremmo incontrati al teatro
21	Ты не был бы усталым;Non saresti stato stanco
22	Он признал, что ошибся;Ha ammesso che avrebbe sbagliato
23	Я бы рассказал эту историю;Avrei raccontato questa storia
24	Они надеялись, что мы поможем им;Speravano che li avremmo aiutati
25	Она сказала, что отправит письмо сегодня;Ha detto che avrebbe spedito la lettera oggi
26	Я бы остался дома;Sarei rimasto a casa
27	Мы были бы рады;Saremmo stati contenti
28	Он думал, что сдаст экзамен;Pensava che avrebbe passato l'esame
29	Я бы купил эту книгу;Avrei comprato quel libro
30	Она обещала, что вернётся скоро;Ha promesso che sarebbe tornata presto
31	Мы бы увидели его;L'avremmo visto
32	Ты бы нашёл работу;Avresti trovato lavoro
33	Он знал, что мы будем ждать;Sapeva che l'avremmo atteso
34	Я бы ответил на письмо;Avrei risposto alla lettera
35	Они боялись, что не успеют;Avevano paura che non sarebbero stati in tempo
36	Она сказала, что приведёт друзей;Ha detto che avrebbe portato degli amici
37	Я бы выпил кофе;Avrei bevuto un caffè
38	Мы закончили бы работу;Avremmo finito il lavoro
39	Он надеялся, что всё изменится;Sperava che tutto sarebbe cambiato
40	Ты был бы доволен;Saresti stato soddisfatto
41	Она была уверена, что мы выиграем;Era sicura che avremmo vinto
