B07 - Futuro Semplice
2	Я (буду - essere) дома (casa) завтра (domani);Sarò a casa domani
3	Ты (будешь - avere) время (tempo) вечером (stasera);Avrai tempo stasera
4	Мы (пойдём - andare) в кино (cinema);Andremo al cinema
5	Она (сделает - fare) домашнее задaggio (compito);Farà i compiti
6	Они (будут - essere) счастливы (felice);Saranno felici
7	Я (куплю - comprare) машину (auto);Comprerò una macchina
8	Ты (прочитаешь - leggere) эту книгу (libro);Leggerai questo libro
9	Мы (поедем - andare) в Италию (Italia);Andremo in Italia
10	Она (скажет - dire) правду (verità);Dirà la verità
11	Они (придут - venire) на встречу (incontro);Verranno all'incontro
12	Я (начну - iniziare) новую работу (lavoro);Inizierò un nuovo lavoro
13	Ты (позвонишь - chiamare) мне (me);Mi chiamerai
14	Мы (закончим - finire) проект (progetto);Finiremo il progetto
15	Она (станет - diventare) врачом (dottore);Diventerà medico
16	Они (будут иметь - avere) проблему (problema);Avranno un problema
17	Я (буду знать - sapere) ответ (risposta);Saprò la risposta
18	Ты (увидишь - vedere) его (lui);Lo vedrai
19	Мы (сделаем - fare) всё (tutto);Faremo tutto
20	Она (найдёт - trovare) решение (soluzione);Troverà una soluzione
21	Они (поймут - capire) меня (me);Mi capiranno
22	Я (напишу - scrivere) письмо (lettera);Scriverò una lettera
23	Ты (получишь - ricevere) новости (notizia);Riceverai notizie
24	Мы (будем жить - vivere) хорошо (bene);Vivreemo bene
25	Она (отправится - partire) завтра (domani);Partirà domani
26	Они (вернутся - tornare) через неделю (settimana);Torneranno tra una settimana
27	Я (приготовлю - preparare) ужин (cena);Preparerò la cena
28	Ты (изучишь - studiare) урок (lezione);Studierai la lezione
29	Мы (будем хотеть - volere) есть (mangiare);Vorremo mangiare
30	Она (станет - essere) счастливой (felice);Sarà felice
31	Они (закажут - ordinare) кофе (caffè);Ordineranno un caffè
32	Я (попробую - provare) этот торт (torta);Proverò questa torta
33	Ты (споешь - cantare) песню (canzone);Canterai una canzone
34	Мы (поиграем - giocare) в футбол (calcio);Giocheremo a calcio
35	Она (нарисует - disegnare) картину (quadro);Disegnerà un quadro
36	Они (избегут - scappare) от опасности (pericolo);Scapperanno dal pericolo
37	Я (буду - stare) хорошо (bene);Starò bene
38	Ты (придёшь - arrivare) вовремя (tempo);Arriverai in tempo
39	Мы (будем - avere) успех (successo);Avremo successo
40	Сейчас (quindi) (будет - essere) три часа (tre);Saranno le tre
41	Где (должно быть - dovuto) быть (essere) он (lui)?;Dov'è? Sarà a casa
42	Погода (tempo) (будет - essere) хорошая (bello);Sarà bel tempo
43	Мы (поживём - vedere);Ci vedremo
44	Это (должно быть - probabile) интересно (interessante);Sarà interessante
45	Она (наверное - probabile) дома (casa);Sarà a casa
46	Они (скорее всего - probabile) приедут (arrivare);Arriveranno presto
47	Ты (можешь быть - potere) прав (right);Potresti avere ragione
48	Мы (увидимся - vedere) скоро (presto);Ci vedremo presto
49	Что (будет - volere) делать (fare)?;Che cosa vuoi fare?
50	Я (думаю - pensare) (будет - essere) хорошо (bene);Penso che sarà tutto bene
