1	B17 - Stare + Gerundio
2	Я сейчас покупаю дом (stare, comprare, casa);Sto comprando una casa
3	Он сейчас идёт домой (stare, andare, casa);Sta andando a casa
4	Я сейчас делаю подарок (stare, fare, regalo);Sto facendo un regalo
5	Она сейчас готовит (stare, cucinare);Sta cucinando
6	Мы сейчас убираем кухню (stare, pulire, cucina);Stiamo pulendo la cucina
7	Они сейчас работают (stare, lavorare);Stanno lavorando
8	Ты сейчас покупаешь новую машину (stare, comprare, macchina, nuovo);Stai comprando una macchina nuova
9	Мы сейчас идём домой (stare, andare, casa);Stiamo andando a casa
10	Они сейчас делают большой подарок (stare, fare, regalo, grande);Stanno facendo un regalo grande
11	Я сейчас не покупаю дом (non, stare, comprare, casa);Non sto comprando una casa
12	Он сейчас не идёт домой (non, stare, andare, casa);Non sta andando a casa
13	Мы сейчас не делаем подарок (non, stare, fare, regalo);Non stiamo facendo un regalo
