1	B24 - Connettivi testuali базовые
2	Дом куплен, поэтому много работаю (comprare, casa, passivo, quindi, lavorare, molto);La casa è comprata, quindi lavoro molto
3	В дом идут, и правда, вместе (andare, casa, si, infatti, insieme);Si va a casa, infatti si va insieme
4	Подарок сделан, тем не менее покупаю книгу (fare, regalo, passivo, tuttavia, comprare, libro);Il regalo è fatto, tuttavia compro un libro
5	Я не работаю, вместо этого покупаю дом (non, lavorare, invece, comprare, casa);Non lavoro, invece compro una casa
6	Я купил книгу — и правда, читаю её (comprare, libro, infatti, leggere, PP);Ho comprato un libro, infatti lo leggo
7	Я не работаю, всё равно покупаю дом (non, lavorare, comunque, comprare, casa);Non lavoro, comunque compro una casa
8	Мы готовим, к тому же покупаем книгу (cucinare, inoltre, comprare, libro);Cuciniamo, inoltre compriamo un libro
9	Я не покупаю — наоборот, работаю (non, comprare, anzi, lavorare);Non compro, anzi lavoro
10	Я не работаю — скорее читаю (non, lavorare, piuttosto, leggere);Non lavoro, piuttosto leggo
11	Они не читали книгу, значит она новая (non, leggere, libro, dunque, nuovo, PP);Non hanno letto il libro, dunque è nuovo
12	Мы купили машину — и правда, она новая (comprare, macchina, infatti, nuovo, PP);Abbiamo comprato una macchina, infatti è nuova
