1	B23 - Forma Passiva e Si (passivante vs impersonale)
2	Дом куплен (comprare, casa, essere, participio);La casa è comprata
3	В дом идут (andare, casa, si);Si va a casa
4	Подарок сделан (fare, regalo, essere, participio);Il regalo è fatto
5	Кухня была убрана (cucina, pulito, PP passivo);La cucina è stata pulita
6	Большие дома были куплены (case, grandi, comprato, PP passivo);Le case grandi sono state comprate
7	Новая машина была куплена семьёй (macchina, nuovo, comprato, da, famiglia, PP passivo);La macchina nuova è stata comprata dalla famiglia
8	Тот самый подарок был сделан им (regalo, fatto, da, lui, PP passivo);Il regalo è stato fatto da lui
9	Тот самый дом покупался (casa, comprato, imperfetto passivo);La casa era comprata
10	Новая машина будет куплена (macchina, nuovo, comprato, futuro passivo);La macchina nuova sarà comprata
11	Говорят по-итальянски (si, parlare, italiano);Si parla italiano
12	Здесь работают (qui, si, lavorare);Qui si lavora
13	Покупают дома (si, comprare, case);Si comprano le case
14	Те самые книги покупаются в Италии (libri, si, comprare, in Italia);I libri si comprano in Italia
