1	B18 - Gerundio Functions
2	Закончив работу, я пошёл домой;Finendo il lavoro, sono andato a casa
3	Начав говорить, он понял ошибку;Iniziando a parlare, ha capito l'errore
4	Уезжая, она попрощалась;Partendo, si è salutata
5	Приходя, я всегда звоню;Arrivando, chiamo sempre
6	Вставая, он чувствует боль;Alzandosi, sente dolore
7	Садясь, будь осторожен;Sedendosi, sia attento
8	Работая, мы учимся;Lavorando, impariamo
9	Изучая italiano, ты поймёшь культуру;Studiando italiano, capirai la cultura
10	Готовя, она поёт;Cucinando, canta
11	Бегая, он слушает музыку;Correndo, ascolta la musica
12	Играя, дети учатся;Giocando, i bambini imparano
13	Писав, я думал о тебе;Scrivendo, pensavo a te
14	Читая, она училась;Leggendo, studiava
15	Живя в Италии, мы говорим по-итальянски;Vivendo in Italia, parliamo italiano
16	Работая здесь, ты заработаешь деньги;Lavorando qui, guadagnerai soldi
17	Изучая diligently, ты сдашь экзамен;Studiando diligentemente, passerai l'esame
18	Готовя тщательно, ты улучшишь результат;Cucinando carefully, migliorerai il risultato
19	Бегая регулярно, ты станешь здоровым;Correndo regolarmente, diventerai sano
20	Читая много, ты узнаешь многое;Leggendo molto, imparerai molto
21	Писав каждый день, ты улучшишь навык;Scrivendo ogni giorno, migliorerai l'abilità
22	Говоря медленно, ты будешь понят;Parlando piano, sarai capito
23	Идя пешком, ты увидишь город;Andando a piedi, vedrai la città
24	Плывя регулярно, ты станешь сильнее;Nuotando regolarmente, diventerai più forte
25	Путешествуя, мы узнаём мир;Viaggiando, scopriamo il mondo
26	Учаясь, мы растём;Studiando, cresciamo
27	Работая вместе, мы добьёмся успеха;Lavorando insieme, avremo successo
28	Помогая другим, ты помогаешь себе;Aiutando gli altri, aiuti te stesso
29	Веря в себя, ты победишь;Credendo in te stesso, vincerai
30	Смеясь, ты чувствуешь лучше;Ridendo, ti senti meglio
31	Делая упражнения, ты становишься сильнее;Facendo esercizi, diventi più forte
32	Слушая внимательно, ты поймёшь лучше;Ascoltando attentamente, capirai meglio
33	Смотрев внимательно, ты заметишь детали;Guardando attentamente, noterai i dettagli
34	Практикуясь каждый день, ты улучшится;Praticando ogni giorno, migliorerai
35	Оставаясь спокойным, ты примешь правильное решение;Rimanendo calmo, prenderai la decisione giusta
36	Будучи терпеливым, ты добьёшься цели;Essendo paziente, raggiungerai l'obiettivo
37	Зная это, ты поймёшь остальное;Sapendo questo, capirai il resto
38	Имея время, я бы помог;Avendo tempo, aiuterei
39	Будучи больным, он остался дома;Essendo malato, è rimasto a casa
40	Работая усердно, она добилась успеха;Lavorando sodo, ha ottenuto successo
41	Изучая язык, ты откроешь новые возможности;Studiando la lingua, aprirai nuove opportunità
