G333 - Пассивный инфинитив
Я хочу, чтобы меня выслушали (volere, ascoltare);Voglio essere ascoltato;Речь о юноше.
Кухню нужно убрать (dovere, pulire, la cucina);La cucina deve essere pulita
Я хочу, чтобы меня пригласили (volere, invitare);Voglio essere invitato;Речь о юноше.
Книги нужно купить (dovere, comprare, i libri);I libri devono essere comprati
Дверь нужно закрыть (dovere, chiudere, la porta);La porta deve essere chiusa
Я хочу, чтобы меня поняли (volere, capire);Voglio essere capito;Речь о юноше.
Обед нужно приготовить (dovere, preparare, il pranzo);Il pranzo deve essere preparato
Я хочу, чтобы мне помогли (volere, aiutare);Voglio essere aiutato;Речь о юноше.
Письмо нужно написать сегодня (dovere, scrivere, la lettera);La lettera deve essere scritta oggi
Эту книгу нужно прочитать (dovere, leggere, questo libro);Questo libro deve essere letto
Машину нужно помыть (dovere, lavare, la macchina);La macchina deve essere lavata
Меня можно понять (potere, capire);Posso essere capito;Речь о юноше.
