G226 - Допустимое avere у модального перед непереходным
Лука должен был уйти (dovere partire, avere);Luca ha dovuto partire
Лука должен был уйти (dovere partire, essere);Luca è dovuto partire
Анна должна была вернуться (dovere tornare, avere);Anna ha dovuto tornare
Анна должна была вернуться (dovere tornare, essere);Anna è dovuta tornare
Я смог прийти (potere venire, avere);Ho potuto venire
Ты смог прийти (potere venire, essere);Sei potuto venire
Мы хотели остаться (volere restare, avere);Abbiamo voluto restare
Вы хотели остаться (volere restare, essere);Siete voluti restare;Речь о группе юношей.
Марко должен был уехать рано (dovere partire, avere);Marco ha dovuto partire presto
Мальчики смогли вернуться (potere tornare, essere);I ragazzi sono potuti tornare
Я не смог остаться (potere restare, essere);Non sono potuto restare
Нам пришлось уехать поздно (dovere partire, essere);Siamo dovuti partire tardi;Речь о группе юношей.
Паоло захотел вернуться (volere tornare, essere);Paolo è voluto tornare
