G083 - Перенос местоимения к модальному глаголу
Я хочу её купить (volere comprare, il libro);Lo voglio comprare;Речь о книге.
Я хочу купить её (volere comprare);Voglio comprarlo
Я могу её прочитать (potere leggere, il giornale);Lo posso leggere;Речь о газете.
Ты должен её закрыть (dovere chiudere, la porta);La devi chiudere
Мы хотим её выпить (volere bere, l'acqua);La vogliamo bere
Вы можете их открыть (potere aprire, le finestre);Le potete aprire
Она хочет их съесть (volere mangiare, le mele);Le vuole mangiare
Я должен их прочитать (dovere leggere, le lettere);Le devo leggere
Ты можешь её послушать (potere ascoltare, la musica);La puoi ascoltare
Мы хотим купить его (volere comprare, una casa);Vogliamo comprarla;Речь о доме.
Мы хотим его купить (volere comprare, una casa);La vogliamo comprare;Речь о доме.
Ты можешь её открыть? (potere aprire, la bottiglia di vino);La puoi aprire?


